"filename", "language", "Properties", "Groovy", "XML", "JSON", "Batch", "Java", "comment", "blank", "total"
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 170, 0, 0, 0, 0, 1, 171
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_navigate_before.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_play_arrow.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_play_circle.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_refresh.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_remove_filled.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_search.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_settings.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_skip_next.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\content_main.xml", "XML", 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_episode_select.xml", "XML", 0, 0, 254, 0, 0, 0, 0, 32, 286
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_home.xml", "XML", 0, 0, 176, 0, 0, 0, 0, 20, 196
